"Word","Pair","Subject","Repetition","VOT","consonant","minpair","Klatt","VHeight","Length","Freq_KF","SMean","BMean","NNbors","VC","CC","CV","CMU","BaseDur","Freq_S","Structure","B1","NumCCoda","VcFinalC","mpCode","NNbors.c","VC.c","CC.c","CV.c"
"cake","k10","6",1,0.054085,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","5",3,0.097606,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","12",2,0.06325,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","1",1,0.070093,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","6",2,0.056377,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","12",1,0.073044,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","5",2,0.094241,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","2",3,0.094524,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","11",1,0.091663,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","9",2,0.06644,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","3",1,0.080334,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","10",1,0.051586,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","10",3,0.107368,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","2",1,0.096775,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","9",1,0.067726,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","11",2,0.099552,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","11",3,0.133874,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","3",3,0.066874,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","5",1,0.087929,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","8",3,0.097035,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
