exp_num,sub_id,speed,word,token,VOT,vowel,closure,aspiration
Exp1,C,NA,tug,5,56,192,66,96
Exp1,C,NA,dip,1,22,93,84,79
Exp1,C,NA,dip,2,15,95,80,105
Exp1,C,NA,dip,3,16,85,83,119
Exp1,C,NA,dip,4,16,93,81,110
Exp1,C,NA,dip,5,18,107,77,88
Exp1,C,NA,tip,1,62,93,73,98
Exp1,C,NA,tip,2,49,84,82,89
Exp1,C,NA,tip,3,51,93,55,101
Exp1,C,NA,tip,4,41,73,84,70
Exp1,C,NA,tip,5,68,78,64,74
Exp1,C,NA,dab,1,13,224,57,135
Exp1,C,NA,dab,2,14,230,63,90
Exp1,C,NA,dab,3,11,232,53,112
Exp1,C,NA,dab,4,12,223,58,91
Exp1,C,NA,dab,5,17,230,78,66
Exp1,C,NA,tab,1,67,221,83,70
Exp1,C,NA,tab,2,80,227,61,77
Exp1,C,NA,tab,3,86,206,66,117
Exp1,C,NA,tab,4,59,209,71,85
Exp1,C,NA,tab,5,69,212,59,89
Exp1,C,NA,dub,1,12,166,72,120
Exp1,C,NA,dub,2,15,181,74,115
Exp1,C,NA,dub,3,11,170,73,139
Exp1,C,NA,dub,4,11,183,62,103
Exp1,C,NA,dub,5,11,193,91,58
Exp1,C,NA,tub,1,70,153,66,145
Exp1,C,NA,tub,2,60,157,66,89
Exp1,C,NA,tub,3,70,169,60,110
Exp1,C,NA,tub,4,58,168,62,107
Exp1,C,NA,tub,5,47,159,70,96
Exp1,C,NA,good,1,20,202,41,162
Exp1,C,NA,good,2,20,225,35,166
Exp1,C,NA,good,3,20,210,39,165
Exp1,C,NA,good,4,32,205,47,74
Exp1,C,NA,good,5,22,210,48,80
Exp1,C,NA,could,1,72,186,37,180
Exp1,C,NA,could,2,61,178,33,137
Exp1,C,NA,could,3,61,191,32,129
Exp1,C,NA,could,4,65,180,36,142
Exp1,C,NA,could,5,72,200,48,83
Exp1,C,NA,goat,1,24,169,77,108
Exp1,C,NA,goat,2,22,192,57,110
Exp1,C,NA,goat,3,15,192,70,88
Exp1,C,NA,goat,4,29,175,94,137
Exp1,C,NA,goat,5,20,177,57,111
Exp1,C,NA,coat,1,75,153,92,168
Exp1,C,NA,coat,2,75,167,103,92
Exp1,C,NA,coat,3,78,162,89,168
Exp1,C,NA,coat,4,75,146,79,141
Exp1,C,NA,coat,5,60,169,87,98
Exp1,C,NA,gut,1,16,168,72,84
Exp1,C,NA,gut,2,27,152,78,82
Exp1,C,NA,gut,3,29,147,84,66
Exp1,C,NA,gut,4,33,135,85,78
Exp1,C,NA,gut,5,28,155,87,105
Exp1,C,NA,cut,1,95,114,73,141
Exp1,C,NA,cut,2,77,95,86,144
Exp1,C,NA,cut,3,81,112,79,116
Exp1,C,NA,cut,4,80,91,84,79
Exp1,C,NA,cut,5,81,111,62,111
Exp1,C,NA,gap,1,23,190,78,86
Exp1,C,NA,gap,2,18,177,68,124
Exp1,C,NA,gap,3,21,176,74,119
Exp1,C,NA,gap,4,19,186,63,61
Exp1,C,NA,gap,5,17,186,67,92
Exp1,C,NA,cap,1,74,179,68,101
Exp1,C,NA,cap,2,90,152,80,120
Exp1,C,NA,cap,3,74,168,73,134
Exp1,C,NA,cap,4,76,149,80,92
Exp1,C,NA,cap,5,NA,NA,NA,NA
Exp1,C,NA,gape,1,18,154,69,107
Exp1,C,NA,gape,2,15,166,79,65
Exp1,C,NA,gape,3,23,155,65,141
Exp1,C,NA,gape,4,22,142,76,138
Exp1,C,NA,gape,5,20,151,67,90
Exp1,C,NA,cape,1,65,148,80,100
Exp1,C,NA,cape,2,68,136,71,90
Exp1,C,NA,cape,3,79,130,71,109
Exp1,C,NA,cape,4,64,118,61,80
Exp1,C,NA,cape,5,48,140,74,64
Exp1,D,NA,back,1,10,163,131,156
Exp1,D,NA,back,2,2,235,117,154
Exp1,D,NA,back,3,9,211,159,221
Exp1,D,NA,back,4,0,223,134,209
Exp1,D,NA,back,5,7,240,133,167
Exp1,D,NA,pack,1,93,207,88,144
Exp1,D,NA,pack,2,75,194,149,118
Exp1,D,NA,pack,3,58,199,135,142
Exp1,D,NA,pack,4,60,212,124,198
Exp1,D,NA,pack,5,50,178,143,170
Exp1,D,NA,big,1,8,163,73,149
Exp1,D,NA,big,2,9,176,70,152
Exp1,D,NA,big,3,7,184,71,134
Exp1,D,NA,big,4,21,245,85,93
Exp1,D,NA,big,5,3,191,92,159
Exp1,D,NA,pig,1,75,183,83,139
Exp1,D,NA,pig,2,23,179,86,91
Exp1,D,NA,pig,3,66,192,72,133
Exp1,D,NA,pig,4,55,206,85,76
Exp1,D,NA,pig,5,56,213,77,154
Exp1,D,NA,bat,1,9,276,92,193
Exp1,D,NA,bat,2,8,253,101,229
Exp1,D,NA,bat,3,3,181,154,165
Exp1,D,NA,bat,4,8,260,116,170
Exp1,D,NA,bat,5,3,206,142,213
Exp1,D,NA,pat,1,35,168,120,161
Exp1,D,NA,pat,2,60,174,108,130
Exp1,D,NA,pat,3,52,232,128,179
Exp1,D,NA,pat,4,63,197,109,167
Exp1,D,NA,pat,5,84,201,130,209
Exp1,D,NA,bet,1,6,179,80,205
Exp1,D,NA,bet,2,11,166,115,289
Exp1,D,NA,bet,3,6,173,118,91
Exp1,D,NA,bet,4,7,254,141,203
Exp1,D,NA,bet,5,7,192,140,59
Exp1,D,NA,pet,1,63,159,112,128
Exp1,D,NA,pet,2,57,189,125,166
Exp1,D,NA,pet,3,58,160,116,117
Exp1,D,NA,pet,4,51,189,86,202
Exp1,D,NA,pet,5,47,182,118,234
Exp1,D,NA,bub,1,7,193,86,122
Exp1,D,NA,bub,2,7,202,94,121
Exp1,D,NA,bub,3,9,199,90,260
Exp1,D,NA,bub,4,12,233,79,135
Exp1,D,NA,bub,5,2,206,73,123
Exp1,D,NA,pub,1,87,182,57,109
Exp1,D,NA,pub,2,28,226,106,128
Exp1,D,NA,pub,3,62,225,106,103
Exp1,D,NA,pub,4,52,278,125,94
Exp1,D,NA,pub,5,68,194,110,86
Exp1,D,NA,duck,1,9,162,107,163
Exp1,D,NA,duck,2,21,158,116,201
Exp1,D,NA,duck,3,25,168,120,107
Exp1,D,NA,duck,4,19,183,114,176
Exp1,D,NA,duck,5,25,170,133,196
Exp1,D,NA,tuck,1,71,149,106,165
Exp1,D,NA,tuck,2,68,150,112,159
Exp1,D,NA,tuck,3,71,151,114,173
Exp1,D,NA,tuck,4,57,148,112,168
Exp1,D,NA,tuck,5,70,149,118,132
Exp1,D,NA,dug,1,14,214,80,139
Exp1,D,NA,dug,2,23,208,92,144
Exp1,D,NA,dug,3,18,194,91,121
Exp1,D,NA,dug,4,27,252,82,141
Exp1,D,NA,dug,5,18,229,92,126
Exp1,D,NA,tug,1,62,163,73,131
Exp1,D,NA,tug,2,77,170,85,122
Exp1,D,NA,tug,3,63,228,110,91
Exp1,D,NA,tug,4,61,209,94,19
Exp1,D,NA,tug,5,52,203,91,140
Exp1,D,NA,dip,1,22,133,139,175
Exp1,D,NA,dip,2,35,155,114,178
Exp1,D,NA,dip,3,23,139,121,87
Exp1,D,NA,dip,4,10,165,116,217
Exp1,D,NA,dip,5,22,167,144,137
Exp1,D,NA,tip,1,63,109,110,150
Exp1,D,NA,tip,2,81,136,85,155
Exp1,D,NA,tip,3,62,122,81,191
Exp1,D,NA,tip,4,83,147,108,130
Exp1,D,NA,tip,5,70,159,154,164
Exp1,D,NA,dab,1,16,239,101,50
Exp1,D,NA,dab,2,21,245,104,114
Exp1,D,NA,dab,3,18,265,83,88
Exp1,D,NA,dab,4,26,321,95,98
Exp1,D,NA,dab,5,30,307,130,115
Exp1,D,NA,tab,1,76,230,96,151
Exp1,D,NA,tab,2,83,266,128,128
Exp1,D,NA,tab,3,76,267,82,110
Exp1,D,NA,tab,4,75,273,112,131
Exp1,D,NA,tab,5,73,239,80,119
Exp1,D,NA,dub,1,12,169,92,108
Exp1,D,NA,dub,2,17,209,96,82
Exp1,D,NA,dub,3,16,203,81,118
Exp1,D,NA,dub,4,14,228,78,81
Exp1,D,NA,dub,5,23,222,102,90
Exp1,D,NA,tub,1,81,172,103,132
Exp1,D,NA,tub,2,53,207,82,113
Exp1,D,NA,tub,3,64,194,82,97
Exp1,D,NA,tub,4,59,225,82,100
Exp1,D,NA,tub,5,61,265,90,117
Exp1,D,NA,good,1,23,164,76,129
Exp1,D,NA,good,2,18,204,64,150
Exp1,D,NA,good,3,33,248,78,169
Exp1,D,NA,good,4,16,184,77,98
Exp1,D,NA,good,5,23,213,85,156
Exp1,D,NA,could,1,83,182,63,157
Exp1,D,NA,could,2,65,176,59,23
Exp1,D,NA,could,3,88,174,58,79
Exp1,D,NA,could,4,82,174,60,181
Exp1,D,NA,could,5,95,200,57,126
Exp1,D,NA,goat,1,23,203,99,201
Exp1,D,NA,goat,2,18,210,93,164
Exp1,D,NA,goat,3,NA,NA,NA,NA
Exp1,D,NA,goat,4,31,233,117,137
Exp1,D,NA,goat,5,23,202,100,201
Exp1,D,NA,coat,1,84,188,95,131
Exp1,D,NA,coat,2,75,203,99,103
Exp1,D,NA,coat,3,78,174,121,178
Exp1,D,NA,coat,4,75,231,133,274
Exp1,D,NA,coat,5,83,206,113,203
Exp1,D,NA,gut,1,15,163,106,216
Exp1,D,NA,gut,2,14,148,122,198
Exp1,D,NA,gut,3,16,176,105,181
Exp1,D,NA,gut,4,22,172,119,120
Exp1,D,NA,gut,5,16,174,138,144
Exp1,D,NA,cut,1,69,105,120,152
Exp1,D,NA,cut,2,54,152,94,254
Exp1,D,NA,cut,3,72,170,88,54
Exp1,D,NA,cut,4,71,167,105,181
Exp1,D,NA,cut,5,57,148,132,166
Exp1,D,NA,gap,1,11,195,115,181
Exp1,D,NA,gap,2,24,264,78,224
Exp1,D,NA,gap,3,11,223,157,126
Exp1,D,NA,gap,4,20,238,105,168
Exp1,D,NA,gap,5,25,269,125,201
Exp1,D,NA,cap,1,64,137,122,198
Exp1,D,NA,cap,2,85,193,135,96
Exp1,D,NA,cap,3,69,194,121,163
Exp1,D,NA,cap,4,65,221,142,226
Exp1,D,NA,cap,5,56,186,129,138
Exp1,D,NA,gape,1,4,199,105,179
Exp1,D,NA,gape,2,25,189,96,210
Exp1,D,NA,gape,3,20,178,91,91
Exp1,D,NA,gape,4,15,192,119,196
Exp1,D,NA,gape,5,25,192,131,215
Exp1,D,NA,cape,1,79,162,122,190
Exp1,D,NA,cape,2,77,166,152,232
Exp1,D,NA,cape,3,82,174,145,104
Exp1,D,NA,cape,4,69,194,183,152
Exp1,D,NA,cape,5,64,164,216,93
Exp2,A,fast,back,1,12,163,123,70
Exp2,A,fast,back,2,10,157,98,84
